ema_fast,ema_slow,atr_min,k_sl,k_tp,atr_pct_min,min_trend_strength,trades,win_rate,avg_r,total_return_pct,max_dd_pct,profit_factor,score
50,200,5.0,1.0,4.0,0.0,0.0,254,21.653543307086615,0.08267716535432591,23.678900174262264,55.00126936290598,1.0337635704983454,9.322186493633293
50,200,5.0,1.0,3.0,0.5,0.005,127,26.77165354330709,0.0708661417322819,10.770587320171332,35.087158265668364,1.0521162397199815,8.218004718715019
50,200,10.0,1.5,3.0,0.5,0.005,88,35.22727272727273,0.056818181818180574,6.63992543421863,29.736915314637425,1.053111361247525,7.865861730615969
50,200,5.0,1.5,3.0,0.0,0.005,135,34.81481481481482,0.04444444444444473,6.773040005165232,33.314061054637264,1.0322730925176422,7.078156371462153
50,200,10.0,2.0,4.0,0.5,0.005,60,35.0,0.05000000000000186,3.637535587196483,19.063451085715187,1.0426821820547505,6.678420658433503
50,200,10.0,1.0,3.0,0.0,0.005,150,26.666666666666668,0.06666666666666421,11.45586757211483,45.75231483906757,1.0403347932225069,6.677034877855111
50,200,5.0,2.0,4.0,0.3,0.0,121,34.710743801652896,0.041322314049586154,5.259240069356053,28.043185271692934,1.027715038947907,6.509679013641687
50,200,10.0,1.0,3.0,0.3,0.005,135,26.666666666666668,0.06666666666666478,10.253565508457552,42.092502234858685,1.0414270718601548,6.495893544965586
50,200,10.0,1.5,3.0,0.0,0.005,106,34.90566037735849,0.04716981132075343,5.884594274351884,33.947245965804406,1.035849598416469,6.050730872424335
50,200,5.0,1.5,2.5,0.0,0.01,82,39.02439024390244,0.040650406504066046,3.991498483370104,26.166470058250557,1.034687807543556,5.952877637916815
50,200,5.0,1.0,2.5,0.0,0.005,221,29.86425339366516,0.04524886877827916,9.278687678850627,48.26820878260612,1.022387734072546,5.740861055149197
50,200,5.0,1.5,3.0,0.3,0.005,118,34.74576271186441,0.042372881355932236,5.384014742811716,32.99729938865723,1.0299911827730392,5.669303311386178
50,200,5.0,1.5,3.0,0.0,0.01,77,35.064935064935064,0.05194805194805174,5.003541194498173,31.14217700834453,1.0417604231250026,5.6338016135736
50,200,10.0,1.0,4.0,0.0,0.005,126,21.428571428571427,0.07142857142856941,8.099302496076778,42.65409194365196,1.0306830423644482,4.0689292433669495
50,200,10.0,1.5,2.5,0.0,0.01,78,38.46153846153847,0.025641025641027302,1.4062695813888304,28.00197178987754,1.0127583374911284,1.9315529634034616
50,200,10.0,1.5,4.0,0.0,0.005,92,28.26086956521739,0.036231884057972355,1.772986996026571,31.474902138442218,1.0111493766993949,1.5919399531455833
